channel_id,node1_id,node2_id,capacity,node1_balance,node2_balance,node1_tx_rate,node2_tx_rate,fee_rate_ppm,node1_ttd_hours,node2_ttd_hours,age_days,num_updates,balance_ratio
chan_000079,node_00045,node_00203,1946931,1070693,876238,16563,41567,2068,297414.72,0.01,460,571,0.45
chan_000080,node_00176,node_00395,2416704,1466258,950446,99453,28780,1002,0.01,264012.78,359,5237,0.393
chan_000081,node_00157,node_00530,6766001,1657103,5108898,33721,94096,1185,460306.39,0.02,594,2311,0.245
chan_000082,node_00136,node_00799,3359754,156869,3202885,135336,115722,791,0.0,889690.28,576,735,0.047
chan_000083,node_00350,node_00556,1264645,45274,1219371,9023,67088,854,12576.11,0.01,494,3639,0.036
chan_000084,node_00000,node_00233,8277585,2447749,5829836,23829,21810,1450,0.34,1619398.89,86,361,0.296
chan_000085,node_00137,node_00902,5719971,3282409,2437562,70245,42031,857,0.03,677100.56,379,1871,0.426
chan_000086,node_00017,node_00172,957238,94575,862663,265808,146259,311,0.0,239628.61,508,2422,0.099
chan_000087,node_00386,node_00995,5002673,248119,4754554,295120,23847,1136,0.0,1320709.44,246,308,0.05
chan_000088,node_00000,node_00994,1513552,530890,982662,15691,48205,682,147469.44,0.01,409,1980,0.351
chan_000089,node_00909,node_00912,1341455,349491,991964,55569,47919,1843,0.01,275545.56,244,3136,0.261
chan_000090,node_00004,node_00797,1026691,631176,395515,42505,26363,968,0.01,109865.28,283,3254,0.385
chan_000091,node_00406,node_00514,4749549,862796,3886753,8285,58279,755,239665.56,0.02,55,941,0.182
chan_000092,node_00012,node_00013,3510304,1817346,1692958,146784,21109,708,0.0,470266.11,256,932,0.482
chan_000093,node_00046,node_00827,3996070,336346,3659724,108465,84203,566,0.0,1016590.0,353,10,0.084
chan_000094,node_00247,node_00668,10257315,3152994,7104321,160241,91188,1366,0.01,1973422.5,378,302,0.307
chan_000095,node_00000,node_00001,18147532,8778540,9368992,45500,58548,1168,2438483.33,0.2,436,2123,0.484
chan_000096,node_00003,node_00056,6285218,1453225,4831993,41996,30197,604,0.03,1342220.28,177,483,0.231
chan_000097,node_00046,node_00559,13876754,2727998,11148756,34074,75238,1674,757777.22,0.08,581,634,0.197
chan_000098,node_00076,node_00944,1348667,729510,619157,101923,19522,639,0.0,171988.06,140,2372,0.459
chan_000099,node_00123,node_00145,8717089,388709,8328380,82477,23394,2049,0.0,2313438.89,316,63,0.045
chan_000100,node_00182,node_00413,3354400,1681356,1673044,126945,38415,1441,0.01,464734.44,657,11123,0.499
chan_000101,node_00006,node_00708,7474577,1681325,5793252,81613,46254,777,0.01,1609236.67,95,45,0.225
chan_000102,node_00198,node_00305,21481549,5556812,15924737,86966,82243,1943,0.33,4423538.06,556,79,0.259
chan_000103,node_00005,node_00258,7953468,3187988,4765480,115364,205827,781,885552.22,0.01,284,519,0.401
chan_000104,node_00062,node_00133,11632557,5264564,6367993,56789,15415,1073,0.04,1768886.94,726,7939,0.453
chan_000105,node_00023,node_00157,19136300,6604132,12532168,29652,21432,2097,0.22,3481157.78,687,366,0.345
chan_000106,node_00200,node_00798,52696157,17176872,35519285,33912,19052,1205,0.32,9866468.06,515,1214,0.326
chan_000107,node_00004,node_00870,15682665,4226188,11456477,144997,69680,1260,0.02,3182354.72,701,1535,0.269
chan_000108,node_00022,node_00214,240259,39414,200845,42455,12438,1744,0.0,55790.28,38,64,0.164
chan_000109,node_00016,node_00031,1897458,359095,1538363,94761,82735,668,0.01,427323.06,209,3245,0.189
chan_000110,node_00182,node_00989,6774978,3316371,3458607,96379,33078,906,0.01,960724.17,712,3396,0.49
chan_000111,node_00009,node_00679,3905581,536645,3368936,14485,12810,793,0.09,935815.56,582,789,0.137
chan_000112,node_00142,node_00477,1479221,103249,1375972,20109,80483,756,28680.28,0.01,108,839,0.07
chan_000113,node_00228,node_00550,4814878,647495,4167383,63618,19677,1009,0.0,1157606.39,455,639,0.134
chan_000114,node_00000,node_00020,1810245,694365,1115880,7802,216603,1502,192879.17,0.0,567,3963,0.384
chan_000115,node_00051,node_00272,8020451,5187911,2832540,10696,40001,1525,1441086.39,0.03,143,1344,0.353
chan_000116,node_00081,node_00393,4695255,1955574,2739681,37293,32821,374,0.12,761022.5,556,269,0.417
chan_000117,node_00413,node_00599,6846779,898654,5948125,84825,162970,557,249626.11,0.02,103,1692,0.131
chan_000118,node_00157,node_00751,2466494,367971,2098523,97386,52773,1249,0.0,582923.06,105,938,0.149
chan_000119,node_00022,node_00035,2639694,1055557,1584137,72724,20701,1405,0.01,440038.06,160,4144,0.4
chan_000120,node_00012,node_00298,1827840,156075,1671765,133647,44637,553,0.0,464379.17,257,196,0.085
chan_000121,node_00012,node_00228,13523023,4173260,9349763,27818,8343,346,0.06,2597156.39,555,335,0.309
chan_000122,node_00125,node_00685,184968,16458,168510,55981,9093,1468,0.0,46808.33,372,1391,0.089
chan_000123,node_00157,node_00900,6474774,1988996,4485778,14433,39284,1132,552498.89,0.05,205,381,0.307
chan_000124,node_00077,node_00411,1711287,172649,1538638,27861,91685,1408,47958.06,0.01,678,979,0.101
chan_000125,node_00287,node_00833,45959864,22363793,23596071,74914,58480,1415,0.38,6554464.17,495,764,0.487
chan_000126,node_00022,node_00609,864821,548424,316397,65176,76611,617,152340.0,0.01,703,20,0.366
chan_000127,node_00004,node_00005,1540725,381355,1159370,30840,41611,440,105931.94,0.03,251,3598,0.248
chan_000128,node_00059,node_00470,3121996,1266655,1855341,83463,42932,1175,0.01,515372.5,110,6888,0.406
chan_000129,node_00313,node_00897,1261382,45582,1215800,96720,96046,1541,0.02,337722.22,596,2829,0.036
chan_000130,node_00210,node_00633,6106977,294817,5812160,124029,20634,662,0.0,1614488.89,135,837,0.048
chan_000131,node_00519,node_00984,2408803,364961,2043842,93344,13628,546,0.0,567733.89,85,1582,0.152
chan_000132,node_00042,node_00279,3756291,1702303,2053988,98866,136072,2597,472861.94,0.02,655,1020,0.453
chan_000133,node_00023,node_00539,13214372,2809393,10404979,168197,80940,1036,0.01,2890271.94,389,217,0.213
chan_000134,node_00628,node_00818,3875935,1360372,2515563,71704,35914,2569,0.01,698767.5,166,1903,0.351
chan_000135,node_00019,node_00578,8959204,407724,8551480,144410,125822,771,0.01,2375411.11,240,469,0.046
chan_000136,node_00142,node_00978,4606667,679435,3927232,17653,35977,1780,188731.94,0.06,335,722,0.147
chan_000137,node_00005,node_00434,6283622,4527923,1755699,29530,56853,1027,1257756.39,0.02,410,2508,0.279
chan_000138,node_00362,node_00570,4253222,518041,3735181,73843,88562,358,143900.28,0.07,294,3587,0.122
chan_000139,node_00010,node_00690,8331352,4067308,4264044,26709,126204,1902,1129807.78,0.01,52,1005,0.488
chan_000140,node_00005,node_00344,3180329,1153106,2027223,37800,19146,864,0.02,563117.5,642,1628,0.363
chan_000141,node_00126,node_00878,5086199,1690210,3395989,149657,156896,2079,469502.78,0.13,388,2262,0.332
chan_000142,node_00052,node_00925,2548569,802474,1746095,130640,55941,373,0.0,485026.39,668,578,0.315
chan_000143,node_00053,node_00149,1308411,647933,660478,10497,56086,402,179981.39,0.0,29,634,0.495
chan_000144,node_00130,node_00592,12442184,7407501,5034683,146842,34210,1037,0.02,1398523.06,481,2329,0.405
chan_000145,node_00118,node_00529,3339374,164842,3174532,19738,39865,860,45789.44,0.04,553,4564,0.049
chan_000146,node_00525,node_00561,1171243,148950,1022293,20204,65858,829,41375.0,0.01,634,5219,0.127
chan_000147,node_00679,node_00830,2720218,31896,2688322,46555,48519,420,8860.0,0.38,710,1571,0.012
chan_000148,node_00014,node_00711,30065062,1839653,28225409,30200,52876,1831,511014.72,0.35,588,508,0.061
chan_000149,node_00014,node_00076,3620521,1169231,2451290,4886,37046,594,324786.39,0.02,387,351,0.323
chan_000150,node_00010,node_00875,706033,192599,513434,26230,17039,2337,0.01,142620.56,42,70,0.273
chan_000151,node_00006,node_00075,1770659,136517,1634142,22426,27387,480,37921.39,0.09,491,3498,0.077
chan_000152,node_00380,node_00423,2739444,305287,2434157,153417,20059,828,0.0,676154.72,724,339,0.111
chan_000153,node_00000,node_00430,3903447,2510634,1392813,81142,122042,1692,697398.33,0.01,212,1261,0.357
chan_000154,node_00055,node_00326,6539991,864549,5675442,37120,70942,1097,240152.5,0.05,601,1624,0.132
chan_000155,node_00072,node_00347,8330902,2956304,5374598,23340,29090,679,821195.56,0.26,631,217,0.355
chan_000156,node_00009,node_00612,13540268,1570117,11970151,183210,104154,423,0.01,3325041.94,202,2927,0.116
chan_000157,node_00009,node_00662,44820027,2844309,41975718,62741,22685,654,0.02,11659921.67,349,5286,0.063
chan_000158,node_00019,node_00093,22398200,4283586,18114614,53129,40200,2057,0.09,5031837.22,128,701,0.191
chan_000159,node_00541,node_00933,354068,68230,285838,13159,116629,917,18952.78,0.0,105,2508,0.193
chan_000160,node_00240,node_00534,12625796,6675133,5950663,128741,126543,943,0.84,1652961.94,1,634,0.471
chan_000161,node_00242,node_00484,6770302,1987049,4783253,24247,127769,1394,551958.06,0.01,250,289,0.293
chan_000162,node_00017,node_00264,51362012,5635842,45726170,36965,62389,522,1565511.67,0.5,10,1554,0.11
chan_000163,node_00147,node_00154,2013773,1283356,730417,81349,457056,1050,356487.78,0.0,278,1868,0.363
chan_000164,node_00130,node_00218,1820995,373446,1447549,155531,6833,1893,0.0,402096.94,239,729,0.205
chan_000165,node_00048,node_00133,7501223,2423169,5078054,24010,64930,2377,673102.5,0.03,511,2800,0.323
chan_000166,node_00010,node_00360,11621956,5810835,5811121,90744,158155,794,1614120.83,0.02,450,3793,0.5
chan_000167,node_00498,node_00695,621079,215428,405651,58494,24258,460,0.0,112680.83,465,3430,0.347
chan_000168,node_00014,node_00177,6814202,3898430,2915772,97620,60526,1188,0.03,809936.67,533,907,0.428
chan_000169,node_00198,node_00418,23411834,1462935,21948899,87960,41176,598,0.01,6096916.39,493,1008,0.062
chan_000170,node_00001,node_00706,21877060,10637831,11239229,86070,44809,771,0.07,3122008.06,427,6968,0.486
chan_000171,node_00101,node_00263,3321274,862241,2459033,9583,28882,628,239511.39,0.04,644,1071,0.26
chan_000172,node_00019,node_00811,3751612,222476,3529136,68882,55527,962,0.0,980315.56,439,1743,0.059
chan_000173,node_00197,node_00768,1191347,162991,1028356,25526,85899,1041,45275.28,0.0,434,4110,0.137
chan_000174,node_00239,node_00359,2208186,1129344,1078842,99616,55883,454,0.01,299678.33,105,328,0.489
chan_000175,node_00184,node_00817,1907986,221239,1686747,130843,64440,977,0.0,468540.83,460,3528,0.116
chan_000176,node_00462,node_00772,1843955,798655,1045300,78232,26080,950,0.0,290361.11,377,1738,0.433
chan_000177,node_00017,node_00163,2767960,1527014,1240946,150709,46773,744,0.0,344707.22,97,1159,0.448
chan_000178,node_00289,node_00735,13771177,2264627,11506550,17777,32664,738,629063.06,0.21,599,3501,0.164
chan_000179,node_00028,node_00080,4557492,2355652,2201840,134954,79120,467,0.01,611622.22,699,1557,0.483
chan_000180,node_00390,node_00744,40671379,21328257,19343122,56173,30591,1073,0.23,5373089.44,166,2196,0.476
chan_000181,node_00004,node_00240,33642502,2684621,30957881,32506,44850,1153,745728.06,0.7,353,965,0.08
chan_000182,node_00144,node_00278,249385,98157,151228,27935,50380,1065,27265.83,0.0,413,4208,0.394
chan_000183,node_00121,node_00636,2070868,936092,1134776,34757,41976,955,260025.56,0.04,90,1461,0.452
chan_000184,node_00004,node_00052,4537534,1282893,3254641,26590,54254,573,356359.17,0.03,357,1073,0.283
chan_000185,node_00004,node_00055,41831056,5054448,36776608,170064,85111,629,0.02,10215724.44,173,203,0.121
chan_000186,node_00172,node_00250,735149,181046,554103,24386,17501,1285,0.01,153917.5,606,508,0.246
chan_000187,node_00151,node_00776,3291968,1000935,2291033,132778,24794,2353,0.0,636398.06,607,3260,0.304
chan_000188,node_00583,node_00796,614021,225889,388132,26458,70213,1896,62746.94,0.0,294,1466,0.368
chan_000189,node_00023,node_00109,349677,136571,213106,23092,184077,747,37936.39,0.0,488,1322,0.391
chan_000190,node_00021,node_00644,1222358,853241,369117,390703,16868,497,0.0,102532.5,542,51,0.302
chan_000191,node_00014,node_00485,7507300,1337235,6170065,150388,64233,1409,0.0,1713906.94,356,285,0.178
chan_000192,node_00112,node_00129,29057799,21667210,7390589,49930,41667,1643,0.73,2052941.39,18,1758,0.254
chan_000193,node_00375,node_00405,1681338,676440,1004898,24509,47586,1531,187900.0,0.01,297,1473,0.402
chan_000194,node_00117,node_00353,63695865,26044493,37651372,105740,57966,1871,0.15,10458714.44,314,2771,0.409
chan_000195,node_00004,node_00074,8000008,4173099,3826909,31635,26576,730,0.23,1063030.28,224,1619,0.478
chan_000196,node_00131,node_00675,2034762,1475105,559657,52932,17764,706,0.01,155460.28,292,3341,0.275
chan_000197,node_00095,node_00282,1661441,562225,1099216,45885,111225,2589,156173.61,0.0,496,5368,0.338
chan_000198,node_00000,node_00706,12358313,6995388,5362925,84067,37370,870,0.04,1489701.39,161,297,0.434
chan_000199,node_00000,node_00108,8589216,4294758,4294458,20204,91777,1485,1192988.33,0.02,228,1057,0.5
chan_000200,node_00015,node_00570,12838035,3037507,9800528,87034,89993,610,843751.94,0.92,490,2613,0.237
chan_000201,node_00014,node_00044,3555343,1561609,1993734,140362,92139,778,0.01,553815.0,197,442,0.439
chan_000202,node_00102,node_00426,911891,567903,343988,146228,28726,470,0.0,95552.22,46,1331,0.377
chan_000203,node_00241,node_00448,1247402,254254,993148,93533,35414,1226,0.0,275874.44,107,2344,0.204
chan_000204,node_00006,node_00202,9683224,5371886,4311338,50287,9420,1083,0.04,1197593.89,88,748,0.445
chan_000205,node_00021,node_00138,71127579,43275826,27851753,129828,18278,1441,0.11,7736598.06,690,750,0.392
chan_000206,node_00004,node_00714,10154778,3955347,6199431,113930,100471,564,0.08,1722064.17,637,369,0.39
chan_000207,node_00409,node_00485,13378216,1383007,11995209,65571,38271,510,0.01,3332002.5,526,1431,0.103
chan_000208,node_00210,node_00453,6445346,3111247,3334099,132499,116503,1546,0.05,926138.61,529,238,0.483
chan_000209,node_00003,node_00013,3425795,808449,2617346,110968,27890,599,0.0,727040.56,8,1571,0.236
chan_000210,node_00253,node_00394,3476007,1601538,1874469,16733,18345,256,444871.67,0.32,642,1408,0.461
chan_000211,node_00172,node_00665,15494609,3418692,12075917,13485,11976,732,0.63,3354421.39,598,2092,0.221
chan_000212,node_00000,node_00908,10061567,418423,9643144,102441,13121,998,0.0,2678651.11,672,846,0.042
chan_000213,node_00077,node_00568,5127971,1693396,3434575,28226,75871,1174,470387.78,0.02,314,253,0.33
chan_000214,node_00133,node_00991,6117231,959425,5157806,45916,34778,750,0.02,1432723.89,324,2251,0.157
chan_000215,node_00019,node_00050,18565823,5415845,13149978,26091,96606,1119,1504401.39,0.05,626,204,0.292
chan_000216,node_00142,node_00818,5106804,355062,4751742,21348,26579,1124,98628.33,0.25,213,1080,0.07
chan_000217,node_00369,node_00458,1018657,15511,1003146,44334,38500,593,0.0,278651.67,120,3057,0.015
chan_000218,node_00404,node_00548,1224775,114428,1110347,73701,34389,668,0.0,308429.72,697,567,0.093
chan_000219,node_00356,node_00927,5537442,2218537,3318905,175548,52822,726,0.01,921918.06,211,946,0.401
chan_000220,node_00101,node_00151,1716642,114292,1602350,51408,10352,1387,0.0,445097.22,471,338,0.067
chan_000221,node_00005,node_00240,13228800,3711603,9517197,44911,69526,1321,1031000.83,0.11,103,2883,0.281
chan_000222,node_00112,node_00649,4256570,925430,3331140,19513,73852,1805,257063.89,0.02,51,815,0.217
chan_000223,node_00252,node_00887,8904240,269757,8634483,35077,128693,870,74932.5,0.03,174,713,0.03
chan_000224,node_00543,node_00791,3336132,1387325,1948807,44348,15887,769,0.01,541335.28,81,4302,0.416
chan_000225,node_00041,node_00330,9041487,449948,8591539,30836,16531,764,0.01,2386538.61,664,12,0.05
chan_000226,node_00123,node_00510,3642217,906871,2735346,64563,187713,1072,251908.61,0.01,390,434,0.249
chan_000227,node_00003,node_00021,16523436,2599618,13923818,67830,44848,1362,0.03,3867727.22,643,101,0.157
chan_000228,node_00023,node_00759,30593487,1503626,29089861,11438,24526,968,417673.89,0.62,357,866,0.049
chan_000229,node_00309,node_00311,9516118,4954915,4561203,87034,79684,670,0.19,1267000.83,619,902,0.479
chan_000230,node_00103,node_00357,506533,320279,186254,152442,88275,1239,0.0,51737.22,288,105,0.368
chan_000231,node_00080,node_00907,7885341,554966,7330375,20158,73872,1160,154157.22,0.04,149,690,0.07
chan_000232,node_00011,node_00131,34984677,8189433,26795244,77531,52448,1607,0.09,7443123.33,516,581,0.234
chan_000233,node_00059,node_00915,1442452,231738,1210714,19337,19463,1089,64371.67,2.67,531,1833,0.161
chan_000234,node_00004,node_00006,14504263,7572225,6932038,91899,135860,513,2103395.83,0.04,50,4553,0.478
chan_000235,node_00014,node_00839,3287445,1739695,1547750,26949,31014,302,483248.61,0.11,623,831,0.471
chan_000236,node_00014,node_00443,9531420,2506620,7024800,25651,19648,1297,0.12,1951333.33,155,84,0.263
chan_000237,node_00034,node_00994,10650602,5858664,4791938,11141,80073,958,1627406.67,0.02,525,5323,0.45
chan_000238,node_00088,node_00795,658420,207921,450499,28450,250696,1906,57755.83,0.0,122,955,0.316
chan_000239,node_00763,node_00920,7587573,1600496,5987077,159153,122121,2125,0.01,1663076.94,440,1345,0.211
chan_000240,node_00066,node_00085,423110,155145,267965,75002,232939,678,43095.83,0.0,320,648,0.367
chan_000241,node_00019,node_00746,467130,292794,174336,91186,9582,1014,0.0,48426.67,538,74,0.373
chan_000242,node_00172,node_00300,413153,146091,267062,38697,186182,1197,40580.83,0.0,354,178,0.354
chan_000243,node_00068,node_00788,5109278,3901285,1207993,30208,28218,737,0.54,335553.61,369,2928,0.236
chan_000244,node_00132,node_00295,5762044,477341,5284703,42180,33044,956,0.01,1467973.06,328,1723,0.083
chan_000245,node_00093,node_00397,541846,263215,278631,40616,62580,1662,73115.28,0.0,511,671,0.486
chan_000246,node_00020,node_00471,2085596,1496217,589379,19848,49115,708,415615.83,0.01,666,1885,0.283
chan_000247,node_00004,node_00008,719192,163288,555904,475205,149613,442,0.0,154417.78,59,2298,0.227
chan_000248,node_00227,node_00592,5803294,2502272,3301022,156537,91098,1149,0.01,916950.56,455,281,0.431
chan_000249,node_00056,node_00296,1521051,879350,641701,30135,19310,1693,0.02,178250.28,135,2824,0.422
chan_000250,node_00004,node_00020,790046,199312,590734,10034,39646,834,55364.44,0.01,561,1108,0.252
chan_000251,node_00010,node_00762,3231654,782662,2448992,52683,99453,1040,217406.11,0.01,283,3538,0.242
chan_000252,node_00105,node_00146,1337889,578864,759025,155777,134266,596,0.01,210840.28,558,5301,0.433
chan_000253,node_00851,node_00981,10216734,3080752,7135982,26814,131861,781,855764.44,0.02,317,4073,0.302
chan_000254,node_00072,node_00814,2220979,1039699,1181280,20832,21002,2881,288805.28,1.93,542,518,0.468
chan_000255,node_00654,node_00926,4200217,1318326,2881891,13023,107582,1109,366201.67,0.01,111,1821,0.314
chan_000256,node_00010,node_00225,1737648,1002076,735572,50091,39908,1050,0.03,204325.56,269,7729,0.423
